generated_at,fantasypros_id,espn_id,player_name,pos,team,ecr,sd,best,worst,pos_rank,r2p_pts,player_opponent,player_bye_week,scrape_date
2026-09-22T18:29:37.317603+09:00,17298,3918298,Josh Allen,QB,BUF,1,0,1,1,QB1,24.1,vs. DET,7,2026-09-21
2026-09-22T18:29:37.317603+09:00,17233,3916387,Lamar Jackson,QB,BAL,2.44,1.1,2,9,QB2,22.5,vs. NO,13,2026-09-21
2026-09-22T18:29:37.317603+09:00,19275,4040715,Jalen Hurts,QB,PHI,4.44,1.68,2,9,QB3,22.0,at TEN,10,2026-09-21
2026-09-22T18:29:37.317603+09:00,15600,2577417,Dak Prescott,QB,DAL,4.52,1.73,2,10,QB4,21.3,vs. WAS,14,2026-09-21
2026-09-22T18:29:37.317603+09:00,19797,4361741,Brock Purdy,QB,SF,5.42,1.71,2,12,QB5,20.9,vs. MIA,8,2026-09-21
2026-09-22T18:29:37.317603+09:00,23084,4431611,Caleb Williams,QB,CHI,5.63,2.51,2,18,QB6,20.5,vs. MIN,10,2026-09-21
2026-09-22T18:29:37.317603+09:00,22902,4426348,Jayden Daniels,QB,WAS,6.11,1.66,2,12,QB7,20.0,at DAL,7,2026-09-21
2026-09-22T18:29:37.317603+09:00,18635,4038941,Justin Herbert,QB,LAC,9.76,2.48,4,18,QB8,19.5,vs. LV,7,2026-09-21
2026-09-22T18:29:37.317603+09:00,19780,4360310,Trevor Lawrence,QB,JAC,11.04,2.88,5,20,QB9,19.1,at DEN,7,2026-09-21
2026-09-22T18:29:37.317603+09:00,23046,4431452,Drake Maye,QB,NE,11.05,2.56,4,18,QB10,18.7,vs. PIT,11,2026-09-21
2026-09-22T18:29:37.317603+09:00,23160,4689114,Jaxson Dart,QB,NYG,11.49,2.66,4,19,QB11,18.4,at LAR,8,2026-09-21
2026-09-22T18:29:37.317603+09:00,16413,3139477,Patrick Mahomes,QB,KC,11.86,3.01,5,20,QB12,18.1,vs. IND,5,2026-09-21
2026-09-22T18:29:37.317603+09:00,19196,3915511,Joe Burrow,QB,CIN,12.28,3.24,6,19,QB13,17.9,at HOU,6,2026-09-21
2026-09-22T18:29:37.317603+09:00,15501,3046779,Jared Goff,QB,DET,12.67,2.54,6,18,QB14,17.7,at BUF,6,2026-09-21
2026-09-22T18:29:37.317603+09:00,9451,12483,Matthew Stafford,QB,LAR,15.06,2.3,8,20,QB15,17.6,vs. NYG,11,2026-09-21
2026-09-22T18:29:37.317603+09:00,19246,4036378,Jordan Love,QB,GB,15.39,2.31,8,21,QB16,17.3,at NYJ,11,2026-09-21
2026-09-22T18:29:37.317603+09:00,17237,3052587,Baker Mayfield,QB,TB,15.58,3.09,6,26,QB17,17.1,vs. CLE,10,2026-09-21
2026-09-22T18:29:37.317603+09:00,22910,4426338,Bo Nix,QB,DEN,17.52,2.88,8,25,QB18,16.8,vs. JAC,10,2026-09-21
2026-09-22T18:29:37.317603+09:00,23096,4360689,Tyler Shough,QB,NO,19.75,1.84,15,26,QB19,16.5,at BAL,8,2026-09-21
2026-09-22T18:29:37.317603+09:00,22900,4685720,Bryce Young,QB,CAR,19.97,2.07,14,26,QB20,16.2,at ATL,5,2026-09-21
2026-09-22T18:29:37.317603+09:00,23071,4432577,CJ Stroud,QB,HOU,21.16,2.22,11,29,QB21,15.9,vs. CIN,8,2026-09-21
2026-09-22T18:29:37.317603+09:00,23499,4242512,Malik Willis,QB,MIA,21.9,2.5,13,32,QB22,15.7,at SF,6,2026-09-21
2026-09-22T18:29:37.317603+09:00,15520,2573079,Carson Wentz,QB,MIN,22.19,2.18,15,29,QB23,15.3,at CHI,6,2026-09-21
2026-09-22T18:29:37.317603+09:00,18232,3917792,Daniel Jones,QB,IND,24.23,1.69,17,29,QB24,14.8,at KC,13,2026-09-21
2026-09-22T18:29:37.317603+09:00,15642,2578570,Jacoby Brissett,QB,ARI,24.81,2.1,11,31,QB25,14.4,vs. SEA,14,2026-09-21
2026-09-22T18:29:37.317603+09:00,11687,15864,Geno Smith,QB,NYJ,26.44,1.9,21,31,QB26,13.9,vs. GB,13,2026-09-21
2026-09-22T18:29:37.317603+09:00,18225,3924327,Drew Lock,QB,SEA,27.02,2.06,21,32,QB27,13.4,at ARI,11,2026-09-21
2026-09-22T18:29:37.317603+09:00,9001,8439,Aaron Rodgers,QB,PIT,27.44,1.45,23,32,QB28,13.0,at NE,9,2026-09-21
2026-09-22T18:29:37.317603+09:00,11177,14880,Kirk Cousins,QB,LV,28.17,2.2,18,32,QB29,12.6,at LAC,13,2026-09-21
